iter: 105, content_loss: 137644343296.0000, style_loss: 36986826752.0000, loss: 174631174144.0000
iter: 106, content_loss: 137075605504.0000, style_loss: 36520361984.0000, loss: 173595967488.0000
iter: 107, content_loss: 135273431040.0000, style_loss: 36424183808.0000, loss: 171697618944.0000
iter: 108, content_loss: 135101153280.0000, style_loss: 36099194880.0000, loss: 171200348160.0000
iter: 109, content_loss: 134919675904.0000, style_loss: 36070912000.0000, loss: 170990583808.0000
iter: 110, content_loss: 134864076800.0000, style_loss: 36298764288.0000, loss: 171162845184.0000
iter: 111, content_loss: 134800998400.0000, style_loss: 36180389888.0000, loss: 170981392384.0000
iter: 112, content_loss: 134167617536.0000, style_loss: 35995623424.0000, loss: 170163240960.0000
iter: 113, content_loss: 133863276544.0000, style_loss: 36070981632.0000, loss: 169934258176.0000
iter: 114, content_loss: 133292244992.0000, style_loss: 35695251456.0000, loss: 168987492352.0000
iter: 115, content_loss: 132755193856.0000, style_loss: 35893035008.0000, loss: 168648228864.0000
iter: 116, content_loss: 132986658816.0000, style_loss: 35604414464.0000, loss: 168591065088.0000
iter: 117, content_loss: 132070449152.0000, style_loss: 35745193984.0000, loss: 167815643136.0000
iter: 118, content_loss: 131543277568.0000, style_loss: 35511029760.0000, loss: 167054311424.0000
iter: 119, content_loss: 130815107072.0000, style_loss: 35277856768.0000, loss: 166092963840.0000
iter: 120, content_loss: 130751135744.0000, style_loss: 35204444160.0000, loss: 165955584000.0000
iter: 121, content_loss: 130857697280.0000, style_loss: 35302473728.0000, loss: 166160171008.0000
iter: 122, content_loss: 130327003136.0000, style_loss: 35450953728.0000, loss: 165777965056.0000
iter: 123, content_loss: 131021389824.0000, style_loss: 35062120448.0000, loss: 166083510272.0000
iter: 124, content_loss: 131645603840.0000, style_loss: 35810557952.0000, loss: 167456161792.0000
iter: 125, content_loss: 131123240960.0000, style_loss: 35447709696.0000, loss: 166570950656.0000
iter: 126, content_loss: 130753486848.0000, style_loss: 35159265280.0000, loss: 165912756224.0000
iter: 127, content_loss: 129207607296.0000, style_loss: 35208515584.0000, loss: 164416126976.0000
iter: 128, content_loss: 129066917888.0000, style_loss: 34634653696.0000, loss: 163701571584.0000
iter: 129, content_loss: 128825434112.0000, style_loss: 35007094784.0000, loss: 163832528896.0000
iter: 130, content_loss: 129186127872.0000, style_loss: 35060211712.0000, loss: 164246339584.0000
iter: 131, content_loss: 129424932864.0000, style_loss: 34946240512.0000, loss: 164371169280.0000
iter: 132, content_loss: 128120258560.0000, style_loss: 34775896064.0000, loss: 162896150528.0000
iter: 133, content_loss: 127269019648.0000, style_loss: 34512289792.0000, loss: 161781317632.0000
iter: 134, content_loss: 127514632192.0000, style_loss: 34458386432.0000, loss: 161973010432.0000
iter: 135, content_loss: 126877564928.0000, style_loss: 34776588288.0000, loss: 161654145024.0000
iter: 136, content_loss: 126642126848.0000, style_loss: 34258657280.0000, loss: 160900775936.0000
iter: 137, content_loss: 126645682176.0000, style_loss: 34284462080.0000, loss: 160930136064.0000
iter: 138, content_loss: 126367809536.0000, style_loss: 34775625728.0000, loss: 161143439360.0000
iter: 139, content_loss: 126698471424.0000, style_loss: 34137761792.0000, loss: 160836239360.0000
iter: 140, content_loss: 125637566464.0000, style_loss: 34412281856.0000, loss: 160049856512.0000
iter: 141, content_loss: 125734846464.0000, style_loss: 34164117504.0000, loss: 159898959872.0000
iter: 142, content_loss: 125828808704.0000, style_loss: 34224936960.0000, loss: 160053739520.0000
iter: 143, content_loss: 125235290112.0000, style_loss: 34193385472.0000, loss: 159428673536.0000
iter: 144, content_loss: 124927811584.0000, style_loss: 33966417920.0000, loss: 158894227456.0000
iter: 145, content_loss: 125009231872.0000, style_loss: 33870645248.0000, loss: 158879875072.0000
iter: 146, content_loss: 125249937408.0000, style_loss: 34405531648.0000, loss: 159655460864.0000
iter: 147, content_loss: 125666140160.0000, style_loss: 33950638080.0000, loss: 159616778240.0000
iter: 148, content_loss: 125385957376.0000, style_loss: 34239412224.0000, loss: 159625363456.0000
iter: 149, content_loss: 125407821824.0000, style_loss: 34366500864.0000, loss: 159774326784.0000
iter: 150, content_loss: 125212672000.0000, style_loss: 33896914944.0000, loss: 159109578752.0000
iter: 151, content_loss: 123315781632.0000, style_loss: 33838190592.0000, loss: 157153968128.0000
iter: 152, content_loss: 123410563072.0000, style_loss: 33657985024.0000, loss: 157068541952.0000
iter: 153, content_loss: 124224897024.0000, style_loss: 33890250752.0000, loss: 158115151872.0000
iter: 154, content_loss: 123123777536.0000, style_loss: 33661816832.0000, loss: 156785590272.0000
iter: 155, content_loss: 122321035264.0000, style_loss: 33503287296.0000, loss: 155824324608.0000
