Pusgiwa Starry

iter: 145, loss: 23897.386719, content loss: 18314976.000000, style_loss: 1155675.875000
iter: 146, loss: 23678.703125, content loss: 18182542.000000, style_loss: 1141583.625000
iter: 147, loss: 23464.003906, content loss: 18030910.000000, style_loss: 1129909.625000
iter: 148, loss: 23275.289062, content loss: 17978750.000000, style_loss: 1111536.125000
iter: 149, loss: 23160.664062, content loss: 17794194.000000, style_loss: 1115663.625000
iter: 150, loss: 22973.117188, content loss: 17851926.000000, style_loss: 1086447.250000
iter: 151, loss: 22752.492188, content loss: 17550104.000000, style_loss: 1089051.250000
iter: 152, loss: 22617.945312, content loss: 17417508.000000, style_loss: 1085492.375000
iter: 153, loss: 22420.023438, content loss: 17311300.000000, style_loss: 1071372.875000
iter: 154, loss: 22279.791016, content loss: 17324532.000000, style_loss: 1052520.750000
iter: 155, loss: 22083.193359, content loss: 17149456.000000, style_loss: 1045453.562500
iter: 156, loss: 21938.468750, content loss: 17005598.000000, style_loss: 1041748.875000
iter: 157, loss: 21794.257812, content loss: 16947018.000000, style_loss: 1029580.250000
iter: 158, loss: 21598.623047, content loss: 16829118.000000, style_loss: 1016916.062500
iter: 159, loss: 21426.179688, content loss: 16760244.000000, style_loss: 1002247.937500
iter: 160, loss: 21284.763672, content loss: 16603330.000000, style_loss: 1000262.312500
iter: 161, loss: 21115.636719, content loss: 16436900.000000, style_loss: 995764.625000
iter: 162, loss: 20969.082031, content loss: 16402149.000000, style_loss: 980920.312500
iter: 163, loss: 20776.390625, content loss: 16257585.000000, style_loss: 971290.375000
iter: 164, loss: 20608.787109, content loss: 16239478.000000, style_loss: 952150.500000
iter: 165, loss: 20458.492188, content loss: 16064802.000000, style_loss: 950831.375000
iter: 166, loss: 20300.843750, content loss: 15994386.000000, style_loss: 938166.875000
iter: 167, loss: 20143.130859, content loss: 15834274.000000, style_loss: 934463.875000
iter: 168, loss: 19995.896484, content loss: 15764359.000000, style_loss: 923051.125000
iter: 169, loss: 19842.818359, content loss: 15641401.000000, style_loss: 916212.250000
iter: 170, loss: 19688.681641, content loss: 15558045.000000, style_loss: 905280.750000
iter: 171, loss: 19539.808594, content loss: 15439358.000000, style_loss: 898540.250000
iter: 172, loss: 19380.730469, content loss: 15372293.000000, style_loss: 885362.125000
iter: 173, loss: 19226.707031, content loss: 15240012.000000, style_loss: 879337.000000
iter: 174, loss: 19085.722656, content loss: 15174048.000000, style_loss: 868310.625000
